plot,frequency,height,landuse,value,landscape,Time,species,transmission,ambient.noise,excess_attenuation,extinction,extinction_species,area_ha,tree_density,basal_area_m2_ha,tree_height_m,crown_base_height_m,understory_density,understory_height_m,pred_species,rel_pred_species
BF1,1.6,0.1,Forest,extrapolated,Bukit 12,sunset,NA,-10.47757497,52.85627552,NA,2.609038162,NA,0.059178039,476,688.4965,18.65,10.35,0.0017264,0.7033,NA,NA
BF1,1.6,2,Forest,extrapolated,Bukit 12,sunrise,NA,-7.279179891,38.42009098,NA,5.712900855,NA,28.82587622,476,688.4965,18.65,10.35,0.0017264,0.7033,NA,NA
BF1,1.6,2,Forest,extrapolated,Bukit 12,sunset,NA,-7.279179891,52.85627552,NA,3.72930837,NA,0.545238369,476,688.4965,18.65,10.35,0.0017264,0.7033,NA,NA
BF1,1.6,5,Forest,extrapolated,Bukit 12,sunrise,NA,-5.480528597,38.42009098,NA,8.620098215,NA,17263.05408,476,688.4965,18.65,10.35,0.0017264,0.7033,NA,NA
BF1,1.6,5,Forest,extrapolated,Bukit 12,sunset,NA,-5.480528597,52.85627552,NA,5.495678385,NA,28.51355215,476,688.4965,18.65,10.35,0.0017264,0.7033,NA,NA
BF1,1.8,0.1,Forest,extrapolated,Bukit 12,sunrise,NA,-10.65584758,38.3387624,NA,3.923958288,NA,0.819388,476,688.4965,18.65,10.35,0.0017264,0.7033,NA,NA
BF1,1.8,0.1,Forest,extrapolated,Bukit 12,sunset,NA,-10.65584758,51.90380283,NA,2.644242437,NA,0.062748967,476,688.4965,18.65,10.35,0.0017264,0.7033,NA,NA
BF1,1.8,2,Forest,extrapolated,Bukit 12,sunrise,NA,-7.04550693,38.3387624,NA,5.947929801,NA,48.40269013,476,688.4965,18.65,10.35,0.0017264,0.7033,NA,NA
BF1,1.8,2,Forest,extrapolated,Bukit 12,sunset,NA,-7.04550693,51.90380283,NA,4.005624779,NA,0.969271588,476,688.4965,18.65,10.35,0.0017264,0.7033,NA,NA
BF1,1.8,5,Forest,extrapolated,Bukit 12,sunrise,NA,-5.177245252,38.3387624,NA,9.049050983,NA,40586.34437,476,688.4965,18.65,10.35,0.0017264,0.7033,NA,NA
BF1,1.8,5,Forest,extrapolated,Bukit 12,sunset,NA,-5.177245252,51.90380283,NA,5.978097976,NA,75.52304058,476,688.4965,18.65,10.35,0.0017264,0.7033,NA,NA
BF1,2,0.1,Forest,measured,Bukit 12,sunrise,NA,-10.83412019,37.64338738,10.04778629,3.912293016,NA,0.788661466,476,688.4965,18.65,10.35,0.0017264,0.7033,NA,NA
BF1,2,0.1,Forest,measured,Bukit 12,sunset,NA,-10.83412019,NA,10.04778629,NA,NA,NA,476,688.4965,18.65,10.35,0.0017264,0.7033,NA,NA
BF1,2,2,Forest,measured,Bukit 12,sunrise,NA,-6.81183397,37.64338738,-7.954152997,6.354786641,NA,123.257949,476,688.4965,18.65,10.35,0.0017264,0.7033,NA,NA
BF1,2,2,Forest,measured,Bukit 12,sunset,NA,-6.81183397,NA,-7.954152997,NA,NA,NA,476,688.4965,18.65,10.35,0.0017264,0.7033,NA,NA
BF1,2,5,Forest,measured,Bukit 12,sunrise,NA,-4.873961908,37.64338738,-16.18335975,9.66608673,NA,139175.5628,476,688.4965,18.65,10.35,0.0017264,0.7033,NA,NA
BF1,2,5,Forest,measured,Bukit 12,sunset,NA,-4.873961908,NA,-16.18335975,NA,NA,NA,476,688.4965,18.65,10.35,0.0017264,0.7033,NA,NA
BF1,2.1,0.1,Forest,extrapolated,Bukit 12,sunrise,NA,-10.81801201,37.81540112,NA,3.902411775,NA,0.773427039,476,688.4965,18.65,10.35,0.0017264,0.7033,NA,NA
BF1,2.1,0.1,Forest,extrapolated,Bukit 12,sunset,NA,-10.81801201,53.96160839,NA,2.408301058,NA,0.038870003,476,688.4965,18.65,10.35,0.0017264,0.7033,NA,NA
BF1,2.1,2,Forest,extrapolated,Bukit 12,sunrise,NA,-6.87051583,37.81540112,NA,6.265457915,NA,101.857897,476,688.4965,18.65,10.35,0.0017264,0.7033,NA,NA
BF1,2.1,2,Forest,extrapolated,Bukit 12,sunset,NA,-6.87051583,53.96160839,NA,3.845814699,NA,0.736459093,476,688.4965,18.65,10.35,0.0017264,0.7033,NA,NA
